Level	Player-to-player Healing	NPC-to-player damage	Player-to-NPC damage
1	4.2	1	1
2	5.28	1	1
3	6.48	1	1
4	7.28	1	1
5	8.12	1	1
6	9	1	1
7	9.92	1	1
8	10.88	1	1
9	11.88	1	1
10	13.7276662	1	1
11	16.31100957	1	1
12	19.33769591	1	1
13	22.8672611	1	1
14	26.34768683	1	1
15	29.20313136	1	1
16	33.97879136	1	1
17	40.85919783	1	1
18	46.59691964	1	1
19	51.1562497	1	1
20	58.84715695	1	1
21	65.85620327	1	1
22	73.02359298	1	1
23	79.4339742	1	1
24	89.40341366	1	1
25	105.1903168	1	1
26	116.7935831	1	1
27	142.1878878	1	1
28	156.2169661	1	1
29	166.2075712	1	1
30	176.8717018	1	1
31	188.4304258	1	1
32	200.7821024	1	1
33	213.9863085	1	1
34	228.1074168	1	1
35	243.2150067	1	1
36	259.3843128	1	1
37	276.6967142	1	1
38	295.2402683	1	1
39	313.7841311	1	1
40	333.5748135	1	1
41	359.2512155	1	1
42	382.090208	1	1
43	406.4915825	1	1
44	438.2872693	1	1
45	466.5191145	1	1
46	503.426773	1	1
47	533.7798772	1	1
48	576.4878588	1	1
49	611.5512283	1	1
50	657.9428595	1	1
51	712.6942225	1	1
52	783.2382449	1	1
53	844.7939882	1	1
54	912.7313564	1	1
55	983.0887037	1	1
56	1073.352835	1	1
57	1151.420326	1	1
58	1252.37278	1	1
59	1326.5233	1	1
60	1468.419079	1	1
61	2535.582294	1	1
62	2936.283639	1	1
63	3387.953667	1	1
64	3898.575674	1	1
65	4477.478973	1	1
66	5135.524289	1	1
67	5885.323767	1	1
68	6998.40669	1	1
69	8718.007897	1	1
70	9257.835988	1	1
71	9257.835988	1	1
72	9257.835988	1	1
73	9257.835988	1	1
74	9257.835988	1	1
75	9257.835988	1	1
76	9257.835988	1	1
77	9257.835988	1	1
78	9257.835988	1	1
79	9257.835988	1	1
80	9257.835988	1	1
81	9257.835988	1	1
82	9257.835988	1	1
83	9257.835988	1	1
84	9257.835988	1	1
85	9257.835988	1	1
86	9257.835988	1	1
87	9257.835988	1	1
88	9257.835988	1	1
89	9257.835988	1	1
90	9257.835988	1	1
91	9257.835988	1	1
92	9257.835988	1	1
93	9257.835988	1	1
94	9257.835988	1	1
95	9257.835988	1	1
96	9257.835988	1	1
97	9257.835988	1	1
98	9257.835988	1	1
99	9257.835988	1	1
100	9257.835988	1	1
101	9257.835988	1	1
102	9257.835988	1	1
103	9257.835988	1	1
104	9257.835988	1	1
105	9257.835988	1	1
106	9257.835988	1	1
107	9257.835988	1	1
108	9257.835988	1	1
109	9257.835988	1	1
110	9257.835988	1	1
111	9257.835988	1	1
112	9257.835988	1	1
113	9257.835988	1	1
114	9257.835988	1	1
115	9257.835988	1	1
116	9257.835988	1	1
117	9257.835988	1	1
118	9257.835988	1	1
119	9257.835988	1	1
120	9257.835988	1	1
121	9257.835988	1	1
122	9257.835988	1	1
123	9257.835988	1	1
